,TOOL
0,YX1
1,YX1
2,YX1
3,YX1
4,YX1
5,YX1
6,YX1
7,YX1
8,YX1
9,YX1
10,YX1
11,YX1
12,YX1
13,YX1
14,YX1
15,YX1
16,YX1
17,YX1
18,YX1
19,YX1
20,YX1
21,YX1
22,YX1
23,YX1
24,YX1
25,YX1
26,YX1
27,YX1
28,YX1
29,YX1
30,YX1
31,YX1
32,YX1
33,YX1
34,YX1
35,YX1
36,YX1
37,YX1
38,YX1
39,YX1
40,YX1
41,YX1
42,YX1
43,YX1
44,YX1
45,YX1
46,YX1
47,YX1
48,YX1
49,YX1
50,YX1
51,YX1
52,YX1
53,YX1
54,YX1
55,YX1
56,YX1
57,YX1
58,YX1
59,YX1
60,YX1
61,YX1
62,YX1
63,YX1
64,YX1
65,YX1
66,YX1
67,YX1
68,YX1
69,YX1
70,YX1
71,XY1
72,YX1
73,YX1
74,YX1
75,YX1
76,YX1
77,YX1
78,YX1
79,YX1
80,YX1
81,YX1
82,YX1
83,YX1
84,YX1
85,YX1
86,YX1
87,YX1
88,YX1
89,YX1
90,YX1
91,YX1
92,YX1
93,YX1
94,YX1
95,YX1
96,YX1
97,YX1
98,YX1
99,YX1
100,YX1
101,YX1
102,YX1
103,YX1
104,YX1
105,YX1
106,YX1
107,YX1
108,YX1
109,YX1
110,YX1
111,YX1
112,YX1
113,YX1
114,YX1
115,YX1
116,YX1
117,YX1
118,YX1
119,YX1
120,YX1
121,YX1
122,YX1
123,YX1
124,YX1
125,YX1
126,YX1
127,YX1
128,YX1
129,YX1
130,YX1
131,YX1
132,YX1
133,YX1
134,YX1
135,YX1
136,YX1
137,YX1
138,YX1
139,YX1
140,YX1
141,YX1
142,YX1
143,YX1
144,YX1
145,YX1
146,YX1
147,YX1
148,YX1
149,YX1
150,YX1
151,YX1
152,YX1
153,YX1
154,YX1
155,YX1
156,YX1
157,YX1
158,YX1
159,YX1
160,YX1
161,YX1
162,YX1
163,YX1
164,YX1
165,YX1
166,YX1
167,YX1
168,YX1
169,YX1
170,YX1
171,YX1
172,YX1
173,YX1
174,YX1
175,YX1
176,YX1
177,YX1
178,YX1
179,YX1
180,YX1
181,YX1
182,YX1
183,YX1
184,YX1
185,YX1
186,YX1
187,YX1
188,YX1
189,YX1
190,YX1
191,YX1
192,YX1
193,YX1
194,YX1
195,YX1
196,YX1
197,YX1
198,YX1
199,YX1
200,YX1
201,YX1
202,YX1
203,YX1
204,YX1
205,YX1
206,YX1
207,YX1
208,YX1
209,YX1
210,YX1
211,YX1
212,YX1
213,YX1
214,YX1
215,YX1
216,YX1
217,YX1
218,YX1
219,YX1
220,YX1
221,YX1
222,YX1
223,YX1
224,YX1
225,YX1
226,YX1
227,YX1
228,YX1
229,YX1
230,YX1
231,YX1
232,YX1
233,YX1
234,YX1
235,YX1
236,YX1
237,YX1
238,YX1
239,YX1
240,YX1
241,YX1
242,YX1
243,YX1
244,YX1
245,YX1
246,YX1
247,YX1
248,YX1
249,YX1
250,YX1
251,YX1
252,YX1
253,YX1
254,YX1
255,YX1
256,YX1
257,YX1
258,YX1
259,YX1
260,YX1
261,YX1
262,YX1
263,YX1
264,YX1
265,YX1
266,YX1
267,YX1
268,YX1
269,YX1
270,YX1
271,YX1
272,YX1
273,YX1
274,YX1
275,YX1
276,YX1
277,YX1
278,YX1
279,YX1
280,YX1
281,YX1
282,YX1
283,YX1
284,YX1
285,YX1
286,YX1
287,YX1
288,YX1
289,YX1
290,YX1
291,YX1
292,YX1
293,YX1
294,YX1
295,YX1
296,YX1
297,YX1
298,YX1
299,YX1
300,YX1
301,YX1
302,YX1
303,YX1
304,YX1
305,YX1
306,YX1
307,YX1
308,YX1
309,YX1
310,YX1
311,YX1
312,YX1
313,YX1
314,YX1
315,YX1
316,YX1
317,YX1
318,YX1
319,YX1
320,YX1
321,YX1
322,YX1
323,YX1
324,YX1
325,YX1
326,YX1
327,YX1
328,YX1
329,YX1
330,YX1
331,YX1
332,YX1
333,YX1
334,YX1
335,YX1
336,YX1
337,YX1
338,YX1
339,YX1
340,YX1
341,YX1
342,YX1
343,YX1
344,YX1
345,YX1
346,YX1
347,YX1
348,YX1
349,YX1
350,YX1
351,YX1
352,YX1
353,YX1
354,YX1
355,YX1
356,YX1
357,YX1
358,YX1
359,YX1
360,YX1
361,YX1
362,YX1
363,YX1
364,YX1
365,YX1
366,YX1
367,YX1
368,YX1
369,YX1
370,YX1
371,YX1
372,YX1
373,YX1
374,YX1
375,YX1
376,YX1
377,YX1
378,YX1
379,YX1
380,YX1
381,YX1
382,YX1
383,YX1
384,YX1
385,YX1
386,YX1
387,YX1
388,YX1
389,YX1
390,YX1
391,YX1
392,YX1
393,YX1
394,YX1
395,YX1
396,YX1
397,YX1
398,YX1
399,YX1
400,YX1
401,YX1
402,YX1
403,YX1
404,YX1
405,YX1
406,YX1
407,YX1
408,YX1
409,YX1
410,YX1
411,YX1
412,YX1
413,YX1
414,YX1
415,YX1
416,YX1
417,YX1
418,YX1
419,YX1
420,YX1
421,YX1
422,YX1
423,YX1
424,YX1
425,YX1
426,YX1
427,YX1
428,YX1
429,YX1
430,YX1
431,YX1
432,YX1
433,YX1
434,YX1
435,YX1
436,YX1
437,YX1
438,YX1
439,YX1
440,YX1
441,YX1
442,YX1
443,YX1
444,YX1
445,YX1
446,YX1
447,YX1
448,YX1
449,YX1
450,YX1
451,YX1
452,YX1
453,YX1
454,YX1
455,YX1
456,YX1
457,YX1
458,YX1
459,YX1
460,YX1
461,YX1
462,YX1
463,YX1
464,YX1
465,YX1
466,YX1
467,YX1
468,YX1
469,YX1
470,YX1
471,YX1
472,YX1
473,YX1
474,YX1
475,YX1
476,YX1
477,YX1
478,YX1
479,YX1
480,YX1
481,YX1
482,YX1
483,YX1
484,YX1
485,YX1
486,YX1
487,YX1
488,YX1
489,YX1
490,YX1
491,YX1
492,YX1
493,YX1
494,YX1
495,YX1
496,YX1
497,YX1
498,YX1
499,YX1
0,YX1
1,YX1
2,YX1
3,YX1
4,YX1
5,YX1
6,YX1
7,YX1
8,YX1
9,YX1
10,YX1
11,YX1
12,YX1
13,YX1
14,YX1
15,YX1
16,YX1
17,YX1
18,YX1
19,YX1
20,YX1
21,YX1
22,YX1
23,YX1
24,YX1
25,YX1
26,YX1
27,YX1
28,YX1
29,YX1
30,YX1
31,YX1
32,YX1
33,YX1
34,YX1
35,YX1
36,XY1
37,YX1
38,XY1
39,XY1
40,YX1
41,XY1
42,YX1
43,YX1
44,YX1
45,YX1
46,YX1
47,YX1
48,YX1
49,YX1
50,YX1
51,YX1
52,YX1
53,YX1
54,YX1
55,YX1
56,YX1
57,YX1
58,YX1
59,YX1
60,YX1
61,YX1
62,YX1
63,YX1
64,YX1
65,YX1
66,YX1
67,YX1
68,YX1
69,YX1
70,YX1
71,YX1
72,YX1
73,YX1
74,YX1
75,YX1
76,YX1
77,YX1
78,YX1
79,YX1
80,YX1
81,YX1
82,YX1
83,YX1
84,YX1
85,YX1
86,YX1
87,YX1
88,YX1
89,YX1
90,YX1
91,YX1
92,XY1
93,YX1
94,YX1
95,YX1
96,YX1
97,YX1
98,YX1
99,YX1
0,YX1
1,YX1
2,YX1
3,YX1
4,YX1
5,YX1
6,YX1
7,YX1
8,YX1
9,YX1
10,YX1
11,YX1
12,YX1
13,YX1
14,YX1
15,YX1
16,YX1
17,YX1
18,YX1
19,YX1
20,YX1
21,YX1
22,YX1
23,YX1
24,YX1
25,YX1
26,YX1
27,YX1
28,YX1
29,YX1
30,YX1
31,YX1
32,YX1
33,YX1
34,YX1
35,YX1
36,YX1
37,YX1
38,YX1
39,YX1
40,YX1
41,YX1
42,YX1
43,YX1
44,YX1
45,YX1
46,YX1
47,YX1
48,YX1
49,YX1
50,YX1
51,YX1
52,YX1
53,YX1
54,YX1
55,YX1
56,YX1
57,YX1
58,YX1
59,YX1
60,YX1
61,YX1
62,YX1
63,YX1
64,YX1
65,YX1
66,YX1
67,YX1
68,YX1
69,YX1
70,YX1
71,YX1
72,YX1
73,YX1
74,YX1
75,YX1
76,YX1
77,YX1
78,YX1
79,YX1
80,YX1
81,YX1
82,YX1
83,YX1
84,YX1
85,YX1
86,YX1
87,YX1
88,YX1
89,YX1
90,YX1
91,YX1
92,YX1
93,YX1
94,YX1
95,YX1
96,YX1
97,YX1
98,YX1
99,YX1
100,YX1
101,YX1
102,XY1
103,XY1
104,YX1
105,YX1
106,YX1
107,YX1
108,YX1
109,YX1
110,YX1
111,XY1
112,XY1
113,XY1
114,XY1
115,XY1
116,YX1
117,YX1
118,YX1
119,YX1
120,YX1
